,osm_type,osm_id,internal_id,query,latlong_score,name_score,name_has_substring,categories_score,address_score,addr_has_substring,confidence
650,way,155259323,0x130e5ae408422a3b:0x10e664c3a513e416,Tarxien,0.0006803057732656002,0.4,False,0.0,0.33,False,0.5364980388252139
651,node,4356596489,0x130e5ae597f1356f:0x4ea15019aeaf6bef,"J & N Marine, L-Iskola",0.00014159018327674697,1.0,False,0.22,0.36,True,0.7899995983502979
652,node,4222351212,0x130e5ae5cc5871cd:0x869207f30bb36348,"Bellas Stationery, Triq Paola 74C, TARXIEN",1.2999999999152578e-05,1.0,False,1.0,0.88,False,0.8439999706053803
653,node,1112950022,0x130e5ae883396443:0xf0d0f6f483a98305,"Paola Health Center, Triq Il-Foss, FGR1017, Paola",0.00014570013726565757,0.95,False,1.0,0.47,False,0.8084995864524124
654,node,2779215434,0x130e5ae88b40f12d:0xd431da6ead32bdde,"M.U.S.E.U.M. - Paola, Triq l-Arkata 23, Rahal Gdid",4.5089799291896946e-05,0.6,False,0.22,0.69,False,0.6364998777087798
655,way,386844095,0x130e5ae8b08ea5cb:0x164d160ae628ea,"L-Ipoġew ta' Ħal Saflieni, Triq ic-Cimiterju, PLA 1116",0.00011687652748998546,0.71,False,0.8,0.81,False,0.733499669893737
656,node,3801977194,0x130e5aef1116a76f:0x984738eb33d680ed,"Smash Radio, Triq Tax-Xewk, Raħal Ġdid",0.0001163433281333775,0.58,False,0.24,0.58,False,0.6269996714372933
657,node,4230856589,0x130e5aef6671484f:0xbf2b23bdc921f393,"Dreads Hairdressing, Triq Imbroll 1, PLA1373",0.00018129051271580045,1.0,False,1.0,0.41,False,0.8204994834220115
658,way,279285941,0x130e5af0ce05e911:0x558aa5f9b62f3e3,Santa Luċija,0.006967731314501373,0.27,False,0.0,0.35,False,0.49847983738826374
659,way,24209417,0x130e5af23ba60c5d:0x936157b5db739a1d,"Skola Sekondarja Santa Luċija, Triq il-Kahwiela",0.0006134512279179459,0.44,False,1.0,0.33,False,0.6484982323621049
660,way,42448606,0x130e5b00ee716d25:0x56abd1122d66f6e0,"Lidl, Tal-Barrani Road, Ghaxaq",7.720520311181948e-05,1.0,False,0.88,0.67,False,0.821499784738057
661,node,4692646991,0x130e5b025f3e2083:0xdd5fd6f7a1b3a817,"Kalkara Police, Misrah l-Arcisqof Gonzi 6, KKR 1513, Kalkara",0.00013494906446554126,0.78,True,1.0,0.72,False,0.8699996175756397
662,node,6635222525,0x130e5b026527adb7:0xf357591fa6d9232f,"Empire General Store, Triq Antonio Bosio",0.02623503424430667,0.55,False,0.24,0.26,False,0.6019240605687727
663,node,3281654519,0x130e5b0ce7126507:0xe669fd3c49fbac37,"St. Catherine's Pharmacy, Triq Il-Qadi, Zejtun",8.193344860408466e-05,0.95,False,1.0,0.82,False,0.8259997710502825
664,way,223386761,0x130e5b0ef878cc63:0xa42ccd676853d38a,Żejtun,0.010049727480509354,0.22,False,0.0,0.18,False,0.47497091533288055
665,node,3673623814,0x130e5b1f2fe7c8e1:0x3df1752127a7ec77,"Kitz Klikz, Triq Titu Brandsma 3, fgr2131, Fgura",5.8193212661575e-05,1.0,False,1.0,0.7,False,0.8349998397757736
666,node,3398303706,0x130e5b1ff8bcdc5f:0x4a50a981f4e55744,"Houseproud Stores, Triq San Tumas 145",5.777508113357136e-05,1.0,False,0.22,0.42,False,0.7429998409862205
667,node,4193020910,0x130e5b218bf2c4ab:0x5ef3ef0bb0412de3,"the knot, Kottoner Avenue, Fgura",0.00014720013587018582,1.0,False,0.77,0.61,False,0.8074995821100739
668,node,4193020913,0x130e5b21929b4e45:0xd40dc49dde42fd65,"big beeper hardware store, Kottoner Avenue, Fgura",7.840114794862888e-05,0.6,False,0.22,0.61,False,0.6324997812759221
669,node,4193020911,0x130e5b222b7fe357:0xd8638bf3e1afeae,"réverie, Kottoner Avenue, Fgura",4.6041828809265605e-05,0.92,False,1.0,0.55,False,0.8034998749527542
670,node,1154318268,0x130e5b2774f86b99:0x9d27cf9f9fafde20,"Cospicua Health Centre, Triq L Jun, Cospicua",0.00010235389587497882,1.0,False,1.0,0.94,False,0.8469997119352313
671,node,2397004294,0x130e5b27cf668905:0x7b4e7ace7fd60455,"Casa Birmula, Kuncizzjoni 3-5, BML 2064, Bormla",8.394504154412851e-05,0.62,True,1.0,0.31,False,0.8014997652269321
672,node,7041583843,0x130e5b281de4b243:0x3f66f8ff8ec1acd2,"Centru Familja Mqaddsa, Triq Johnny Catania",0.00011142396510339342,1.0,False,1.0,0.76,True,0.887999685678333
673,node,4190296764,0x130e5b2916869249:0xf36fada852f97301,"Locanda La Gelsomina, Triq il-Kunsill Popolari 3, BRG 1131, Birgu",2.9349275967548936e-05,1.0,False,1.0,0.93,False,0.8464999232759426
674,node,2530469486,0x130e5b293e22acf3:0x995d7a550ed63954,"Indulgence Divine, Triq Alessandru VII, BRG 1105, Vittoriosa Birgu",0.00010865969813998585,0.54,True,0.54,0.78,False,0.7549996936805957
675,node,6659782485,0x130e5b29681e4483:0x7e5c0775473da70e,"Tal-Petut, Triq Pacifiku Scicluna 20",6.780000000091113e-05,0.62,True,1.0,0.56,False,0.8139998119651326
